id,quiz_category_id,quiz_number,question_number,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,seo_slug,created_at
111,1,1,11,What is the maximum legal weight allowed on a tandem axle?,"20,000 lbs","34,000 lbs","40,000 lbs","44,000 lbs",B,"The maximum weight generally allowed on a tandem axle is 34,000 lbs. Tandem axles distribute the load over a wider area, allowing for more weight than a single axle.",knowledge-test-class-a-1-q11-what-is-the-maximum-legal-weight-allowed-on-a-tandem-axle,2026-02-14 23:53:06.985938+00
112,1,1,12,What is the maximum gross vehicle weight generally allowed on public roads?,"60,000 lbs","70,000 lbs","80,000 lbs","90,000 lbs",C,"The maximum gross vehicle weight generally allowed on the Interstate highway system is 80,000 lbs. Some states may allow heavier loads with special permits on certain roads.",knowledge-test-class-a-1-q12-what-is-the-maximum-gross-vehicle-weight-generally-allowed-o,2026-02-14 23:53:06.985938+00
113,1,1,13,"Compared to a passenger car, how much more stopping distance does a loaded truck need?",About the same distance,About twice the distance,3 to 4 times the distance,5 to 6 times the distance,C,A loaded truck traveling at the same speed as a car requires 3 to 4 times the stopping distance. This is due to the greater weight and inertia of a fully loaded commercial vehicle.,knowledge-test-class-a-1-q13-compared-to-a-passenger-car-how-much-more-stopping-distance,2026-02-14 23:53:06.985938+00
114,1,1,14,"A GVWR over 26,001 lbs requires what class of CDL?",Class C only,Class A or B,Class D,No CDL is required,B,"A vehicle with a Gross Vehicle Weight Rating (GVWR) over 26,001 lbs requires a Class A or Class B CDL. Class A is needed when towing a trailer over 10,000 lbs GVWR, while Class B covers single vehicles over 26,001 lbs.",knowledge-test-class-a-1-q14-a-gvwr-over-26001-lbs-requires-what-class-of-cdl,2026-02-14 23:53:06.985938+00
115,1,1,15,When must a driver complete a written vehicle condition report?,Only when defects are found,At the end of each driving day,Once a week,Only after an accident,B,Drivers of commercial motor vehicles must complete a written vehicle condition report at the end of each driving day. This report documents the condition of the vehicle and any defects found.,knowledge-test-class-a-1-q15-when-must-a-driver-complete-a-written-vehicle-condition-repo,2026-02-14 23:53:06.985938+00
116,1,1,16,What is the perception distance at 55 mph?,61 feet,142 feet,216 feet,100 feet,B,"At 55 mph, perception distance is approximately 142 feet. This is the distance your vehicle travels from the time your eyes see a hazard until your brain recognizes it as a hazard.",knowledge-test-class-a-1-q16-what-is-the-perception-distance-at-55-mph,2026-02-14 23:53:06.985938+00
117,1,1,17,What is the reaction distance at 55 mph?,142 feet,61 feet,216 feet,45 feet,B,"At 55 mph, reaction distance is approximately 61 feet. This is the distance your vehicle travels from the time your brain recognizes a hazard until your foot physically pushes the brake pedal.",knowledge-test-class-a-1-q17-what-is-the-reaction-distance-at-55-mph,2026-02-14 23:53:06.985938+00
118,1,1,18,What is the braking distance at 55 mph on dry pavement?,142 feet,61 feet,216 feet,300 feet,C,"At 55 mph, the braking distance on dry pavement is approximately 216 feet. This is the distance it takes for the vehicle to come to a complete stop once the brakes are applied.",knowledge-test-class-a-1-q18-what-is-the-braking-distance-at-55-mph-on-dry-pavement,2026-02-14 23:53:06.985938+00
119,1,1,19,What should you do first if you experience a tire blowout while driving?,Slam on the brakes immediately,Hold the steering wheel firmly and stay off the brakes until the vehicle slows,Swerve to the shoulder immediately,Shift into neutral immediately,B,"When a tire blows out, you should hold the steering wheel firmly with both hands and stay off the brakes. Let the vehicle slow down gradually, then gently brake and pull off the road. Braking hard can cause loss of control.",knowledge-test-class-a-1-q19-what-should-you-do-first-if-you-experience-a-tire-blowout-wh,2026-02-14 23:53:06.985938+00
120,1,1,20,How far ahead can high beam headlights illuminate the road?,250 feet,150 feet,350 to 500 feet,600 to 800 feet,C,"High beam headlights can illuminate the road approximately 350 to 500 feet ahead. You should use high beams whenever it is safe and legal to do so, switching to low beams when oncoming traffic approaches.",knowledge-test-class-a-1-q20-how-far-ahead-can-high-beam-headlights-illuminate-the-road,2026-02-14 23:53:06.985938+00
121,1,1,21,What is the BAC limit for a CDL driver who is under 21 years of age?,0.04%,0.08%,0.02%,0.00%,C,CDL drivers under 21 years of age have a BAC limit of 0.02%. This stricter limit reflects the zero-tolerance approach to underage drinking and driving.,knowledge-test-class-a-1-q21-what-is-the-bac-limit-for-a-cdl-driver-who-is-under-21-years,2026-02-14 23:53:06.985938+00
122,1,1,22,Which of the following is a key step in a pre-trip inspection?,Check only the tires and lights,Walk around the vehicle and inspect all major components systematically,Start the engine and listen for problems only,Check the mirrors and leave,B,"A proper pre-trip inspection requires walking around the entire vehicle and systematically inspecting all major components including tires, lights, brakes, steering, suspension, coupling devices, cargo securement, and fluid levels.",knowledge-test-class-a-1-q22-which-of-the-following-is-a-key-step-in-a-pre-trip-inspectio,2026-02-14 23:53:06.985938+00
123,1,1,23,"When driving on a steep downgrade, what is the proper technique to control speed?",Use only the brakes to control your speed,Shift to a lower gear before the descent and use engine braking,Put the transmission in neutral and coast,Maintain your highway speed and brake at the bottom,B,"Before starting down a steep grade, you should shift into a lower gear that will allow the engine to help control your speed. Use engine braking (and the engine brake or jake brake if equipped) as the primary method, applying the service brakes only as a supplement.",knowledge-test-class-a-1-q23-when-driving-on-a-steep-downgrade-what-is-the-proper-techniq,2026-02-14 23:53:06.985938+00
124,1,1,24,What should you do when approaching a railroad crossing in a commercial vehicle?,Speed up to cross quickly,"Slow down and prepare to stop, look and listen for trains",Stop only if you see a train coming,Honk your horn and proceed,B,"When approaching a railroad crossing, you should slow down, look both directions, and listen for approaching trains. Some commercial vehicles are required by law to stop at all railroad crossings regardless of whether signals are active.",knowledge-test-class-a-1-q24-what-should-you-do-when-approaching-a-railroad-crossing-in-a,2026-02-14 23:53:06.985938+00
125,1,1,25,"During an en-route inspection, which of the following should you check?",Only fuel level,"Tires, brakes, lights, cargo securement, and coupling devices",Only the mirrors,Only the engine oil,B,"During en-route inspections you should check tires, brakes, lights, cargo securement, coupling devices, and any other safety-critical components. You should perform these checks within the first 50 miles and periodically thereafter.",knowledge-test-class-a-1-q25-during-an-en-route-inspection-which-of-the-following-should,2026-02-14 23:53:06.985938+00
126,1,1,26,What is the primary purpose of a post-trip inspection?,To find defects that could make the vehicle unsafe or cause a breakdown,To check the fuel level for the next trip,To clean the vehicle interior,To verify mileage for payroll,A,The primary purpose of a post-trip inspection is to identify any defects or damage that could make the vehicle unsafe to operate or could lead to a breakdown. Any defects found must be documented on the vehicle condition report.,knowledge-test-class-a-1-q26-what-is-the-primary-purpose-of-a-post-trip-inspection,2026-02-14 23:53:06.985938+00
127,1,1,27,When should you downshift an automatic or manual transmission for a curve?,While in the curve,After exiting the curve,Before entering the curve,Only on wet roads,C,"You should downshift before entering a curve, not during the curve. Downshifting while in a curve can cause a loss of traction and lead to a skid. Slow down and shift before the curve, then accelerate gently through it.",knowledge-test-class-a-1-q27-when-should-you-downshift-an-automatic-or-manual-transmissio,2026-02-14 23:53:06.985938+00
128,1,1,28,What is the most important reason to properly secure cargo?,To avoid a fine,To prevent cargo from shifting or falling and causing an accident or injury,To make the vehicle look professional,To reduce fuel consumption,B,"The most important reason to secure cargo properly is to prevent it from shifting, falling, or spilling, which could cause an accident, injury, or death. Improperly secured cargo is a serious safety hazard to you and other motorists.",knowledge-test-class-a-1-q28-what-is-the-most-important-reason-to-properly-secure-cargo,2026-02-14 23:53:06.985938+00
129,1,1,29,"In foggy conditions, what should you do?",Use high beam headlights for maximum visibility,"Use low beam headlights, reduce speed, and increase following distance",Maintain normal speed and use hazard flashers,Pull over and wait for the fog to clear in all cases,B,"In fog, you should use low beam headlights (high beams reflect off fog and reduce visibility), significantly reduce speed, and increase your following distance. If visibility becomes too poor, pull over to a safe location.",knowledge-test-class-a-1-q29-in-foggy-conditions-what-should-you-do,2026-02-14 23:53:06.985938+00
130,1,1,30,What is the correct action when your drive wheels begin to skid?,Accelerate to pull out of the skid,Brake harder to stop the skid,"Stop braking, turn the steering wheel in the direction of the skid, and counter-steer",Shift into a higher gear,C,"When drive wheels skid, you should take your foot off the brake (or accelerator if an acceleration skid), and steer in the direction you want the vehicle to go. This technique allows the tires to regain traction.",knowledge-test-class-a-1-q30-what-is-the-correct-action-when-your-drive-wheels-begin-to-s,2026-02-14 23:53:06.985938+00
131,1,1,31,How should you use your horn to communicate with other drivers?,Only in emergencies,Lightly tap the horn to make others aware of your presence when needed,Use long blasts to warn distracted drivers,Never use your horn near residential areas,B,"You should use your horn to alert other road users of your presence when necessary. A light tap is usually sufficient to make drivers aware of you, such as when someone is about to merge into your lane or at blind intersections.",knowledge-test-class-a-1-q31-how-should-you-use-your-horn-to-communicate-with-other-drive,2026-02-14 23:53:06.985938+00
132,1,1,32,What is the leading cause of fatal crashes involving commercial vehicles?,Mechanical failure,Bad weather,Distracted driving and driver fatigue,Road construction,C,"Driver-related factors such as distracted driving and fatigue are the leading causes of fatal crashes involving commercial vehicles. Staying alert, well-rested, and focused on driving is critical for safety.",knowledge-test-class-a-1-q32-what-is-the-leading-cause-of-fatal-crashes-involving-commerc,2026-02-14 23:53:06.985938+00
133,1,1,33,What should you do if your brakes fail on a downhill grade?,"Pump the brakes rapidly, downshift, and look for an escape ramp",Turn off the engine,Jump from the vehicle,Steer into oncoming traffic to slow down,A,"If your brakes fail going downhill, you should pump the brake pedal rapidly to try to build pressure, downshift to use engine braking, and look for an escape ramp or an upgrade that will slow the vehicle. Using the escape ramp is your safest option if available.",knowledge-test-class-a-1-q33-what-should-you-do-if-your-brakes-fail-on-a-downhill-grade,2026-02-14 23:53:06.985938+00
134,1,1,34,"When driving at night, you should adjust your speed so you can stop within what distance?",The distance you can see ahead with your headlights,500 feet regardless of visibility,The posted speed limit distance,Twice the posted speed limit distance,A,You should always drive at a speed that allows you to stop within the distance illuminated by your headlights. Overdriving your headlights means you cannot stop in time if an obstacle appears in your path.,knowledge-test-class-a-1-q34-when-driving-at-night-you-should-adjust-your-speed-so-you-ca,2026-02-14 23:53:06.985938+00
135,1,1,35,"What type of fire extinguisher is required on a commercial vehicle, and what types of fires can it fight?","Type A only, for paper and wood fires","Type B:C, for flammable liquid and electrical fires","Type D, for metal fires","Type K, for kitchen fires",B,"Commercial vehicles must carry a B:C rated fire extinguisher (5 B:C minimum). The B rating covers flammable liquids like gasoline and diesel, and the C rating covers electrical fires, which are the most common fire types encountered on commercial vehicles.",knowledge-test-class-a-1-q35-what-type-of-fire-extinguisher-is-required-on-a-commercial-v,2026-02-14 23:53:06.985938+00
136,1,1,36,What is the first thing you should do at the scene of an accident?,Move your vehicle out of the way immediately,Protect the area to prevent further accidents by setting out warning devices,Call your dispatcher,Begin cleaning up debris,B,The first priority at an accident scene is to protect the area to prevent additional crashes. Set out reflective triangles or other warning devices to alert approaching traffic. Then care for the injured and notify authorities.,knowledge-test-class-a-1-q36-what-is-the-first-thing-you-should-do-at-the-scene-of-an-acc,2026-02-14 23:53:06.985938+00
137,1,1,37,Where should reflective triangles be placed when your vehicle is stopped on the roadside?,Only behind the vehicle,"Within 10 feet of the front, 100 feet behind, and 100 feet ahead of the vehicle","Within 10 feet of the rear, 100 feet behind, and 200 feet behind the vehicle on a two-lane road",Only in front of the vehicle,C,"Reflective triangles should be placed within 10 feet of the rear of the vehicle, approximately 100 feet behind, and approximately 100 feet ahead (or 200 feet behind on an undivided two-lane road). This provides adequate warning for approaching traffic from both directions.",knowledge-test-class-a-1-q37-where-should-reflective-triangles-be-placed-when-your-vehicl,2026-02-14 23:53:06.985938+00
138,1,1,38,Which of these is a common cause of vehicle fires?,Under-inflated tires and fuel leaks,Overinflated tires,Using low beam headlights at night,Driving with windows open,A,"Under-inflated tires can overheat and catch fire, and fuel leaks near hot engine components are a major fire risk. Regular inspections of tires, fuel lines, and electrical systems help prevent vehicle fires.",knowledge-test-class-a-1-q38-which-of-these-is-a-common-cause-of-vehicle-fires,2026-02-14 23:53:06.985938+00
139,1,1,39,"When loading cargo, where should the heaviest items be placed?",At the rear of the trailer,On top of lighter cargo,As low and as close to the center of the vehicle as possible,Near the doors for easy unloading,C,"The heaviest cargo should be placed as low as possible and as close to the center (longitudinally) of the vehicle as practical. This keeps the center of gravity low and centered, improving vehicle stability and handling.",knowledge-test-class-a-1-q39-when-loading-cargo-where-should-the-heaviest-items-be-placed,2026-02-14 23:53:06.985938+00
140,1,1,40,What does double-clutching involve when shifting gears?,Pressing the clutch twice quickly before shifting,"Releasing the clutch into neutral, then pressing the clutch again to shift into the next gear",Using two feet on the clutch pedal,Skipping gears in a transmission,B,"Double-clutching requires pressing the clutch to move the gearshift to neutral, releasing the clutch briefly to allow engine and gear speeds to synchronize, then pressing the clutch again to move into the next gear. This technique is used in non-synchronized transmissions common in commercial vehicles.",knowledge-test-class-a-1-q40-what-does-double-clutching-involve-when-shifting-gears,2026-02-14 23:53:06.985938+00
141,1,1,41,What is the purpose of a jake brake (engine retarder)?,To increase engine power on upgrades,To help slow the vehicle without using the service brakes,To improve fuel economy,To warm up the engine faster,B,"A jake brake (engine retarder) helps slow the vehicle by using the engine's compression as a braking force. This reduces wear on the service brakes, which is especially valuable during long downhill descents in mountain driving.",knowledge-test-class-a-1-q41-what-is-the-purpose-of-a-jake-brake-engine-retarder,2026-02-14 23:53:06.985938+00
142,1,1,42,What should you inspect on your tires during a pre-trip inspection?,Only tire pressure,"Tread depth, air pressure, cuts, bulges, and proper inflation",Only whether the tires are the correct size,Only that the valve stems are present,B,"During a pre-trip inspection, tires should be checked for proper tread depth (minimum 4/32 inch on steer tires, 2/32 inch on other tires), correct air pressure, cuts, bulges, missing valve caps, and signs of uneven wear.",knowledge-test-class-a-1-q42-what-should-you-inspect-on-your-tires-during-a-pre-trip-insp,2026-02-14 23:53:06.985938+00
143,1,1,43,What is the minimum number of tie-downs required for cargo that is 10 feet long?,1 tie-down,2 tie-downs,3 tie-downs,4 tie-downs,B,"Cargo must be secured with at least one tie-down for every 10 feet of cargo length, with a minimum of two tie-downs regardless of cargo length. A 10-foot piece of cargo therefore requires at least 2 tie-downs.",knowledge-test-class-a-1-q43-what-is-the-minimum-number-of-tie-downs-required-for-cargo-t,2026-02-14 23:53:06.985938+00
144,1,1,44,"Under Hours of Service regulations, what is the maximum number of hours a property-carrying driver may drive after being on duty for a consecutive period?",10 hours,11 hours,13 hours,14 hours,B,"Under current Hours of Service regulations, a property-carrying CMV driver may drive a maximum of 11 hours after 10 consecutive hours off duty. The 11-hour driving limit is a core HOS rule.",knowledge-test-class-a-1-q44-under-hours-of-service-regulations-what-is-the-maximum-numbe,2026-02-14 23:53:06.985938+00
145,1,1,45,"Under HOS rules, after how many consecutive hours on duty must a property-carrying driver stop driving?",11 hours,13 hours,14 hours,16 hours,C,A property-carrying driver must not drive after the 14th consecutive hour after coming on duty following 10 consecutive hours off duty. This 14-hour window cannot be extended with off-duty time.,knowledge-test-class-a-1-q45-under-hos-rules-after-how-many-consecutive-hours-on-duty-mus,2026-02-14 23:53:06.985938+00
146,1,1,46,What is a driver required to do before putting out a vehicle fire?,Call 911 first in all cases,Know what is burning and use the correct type of extinguisher,Remove all cargo first,Drive to the nearest fire station,B,Before fighting a vehicle fire you must know what is burning so you can use the correct extinguisher type. Using the wrong extinguisher (such as water on an electrical or grease fire) can make the fire worse or create additional hazards.,knowledge-test-class-a-1-q46-what-is-a-driver-required-to-do-before-putting-out-a-vehicle,2026-02-14 23:53:06.985938+00
147,1,1,47,Which vehicle system is most critical to inspect for proper operation before driving?,Air conditioning system,Entertainment system,Braking system,Power window system,C,"The braking system is the most critical safety system on a commercial vehicle. During pre-trip inspection, you must check brake components including shoes, drums, hoses, slack adjusters, air pressure, and low-pressure warning devices.",knowledge-test-class-a-1-q47-which-vehicle-system-is-most-critical-to-inspect-for-proper,2026-02-14 23:53:06.985938+00
148,1,1,48,"When driving on icy roads, what is the safest practice?",Reduce speed to a crawl and increase following distance dramatically,Maintain normal speed but increase following distance,Drive at the posted speed limit and brake gently,Use cruise control for steady speed,A,"On icy roads, you should reduce speed to a crawl, avoid sudden movements of the steering wheel or brakes, and increase your following distance dramatically. Ice can make stopping nearly impossible at higher speeds.",knowledge-test-class-a-1-q48-when-driving-on-icy-roads-what-is-the-safest-practice,2026-02-14 23:53:06.985938+00
149,1,1,49,You are driving a 50-foot vehicle at 35 mph. What is the minimum safe following distance?,3 seconds,4 seconds,5 seconds,7 seconds,C,"At speeds under 40 mph, the rule is 1 second for every 10 feet of vehicle length. A 50-foot vehicle needs at least 5 seconds of following distance. Since 35 mph is under 40 mph, no additional second is required.",knowledge-test-class-a-1-q49-you-are-driving-a-50-foot-vehicle-at-35-mph-what-is-the-mini,2026-02-14 23:53:06.985938+00
150,1,1,50,What is the main advantage of using turn signals well in advance of a turn or lane change?,It is only required by law and has no practical benefit,It gives other drivers time to react and adjust to your intended movement,It activates the vehicle anti-lock braking system,It reduces your blind spot,B,"Signaling well in advance gives other drivers time to see your signal and adjust their driving. For large commercial vehicles, early signaling is especially important because these vehicles need more time and space to complete turns and lane changes.",knowledge-test-class-a-1-q50-what-is-the-main-advantage-of-using-turn-signals-well-in-adv,2026-02-14 23:53:06.985938+00
151,2,1,1,How many steps are in the standard CDL pre-trip inspection method?,Five,Six,Seven,Eight,C,The standard CDL pre-trip inspection follows a seven-step method designed to ensure every critical component of the vehicle is checked before driving.,knowledge-test-class-a-2-q1-how-many-steps-are-in-the-standard-cdl-pre-trip-inspection-m,2026-02-14 23:53:25.617005+00
152,2,1,2,What is the first step of the seven-step inspection method?,Start the engine and check gauges,Check the engine compartment,Vehicle overview and approach,Walk-around inspection,C,"Step 1 is the vehicle overview and approach. As you walk toward the vehicle, you should look for damage, leaning, leaks under the vehicle, and hazards in the area around the vehicle.",knowledge-test-class-a-2-q2-what-is-the-first-step-of-the-seven-step-inspection-method,2026-02-14 23:53:25.617005+00
153,2,1,3,"During the vehicle overview (Step 1), what should you look for as you approach the vehicle?",Only tire condition,"Damage, leaning, leaks, and surrounding hazards",Only fluid leaks,Only body damage,B,"During the vehicle overview approach, you should look for signs of damage, whether the vehicle is leaning to one side, any leaks underneath the vehicle, and any hazards in the surrounding area such as low wires or branches.",knowledge-test-class-a-2-q3-during-the-vehicle-overview-step-1-what-should-you-look-for,2026-02-14 23:53:25.617005+00
154,2,1,4,What does it indicate if the vehicle is leaning to one side during the approach inspection?,Normal tire wear,"Possible flat tire, overloaded cargo, or suspension failure",The road is uneven,The vehicle was recently washed,B,"A vehicle leaning to one side can indicate a flat tire, improperly loaded or shifted cargo, or a suspension system failure. Any of these conditions must be investigated and corrected before driving.",knowledge-test-class-a-2-q4-what-does-it-indicate-if-the-vehicle-is-leaning-to-one-side,2026-02-14 23:53:25.617005+00
155,2,1,5,What is Step 2 of the seven-step inspection method?,Walk-around inspection,Check engine compartment,In-cab inspection,Check signal lights,B,"Step 2 is checking the engine compartment. You should inspect power steering fluid, coolant level, oil level, belts, hoses, the battery, and wiring before starting the engine.",knowledge-test-class-a-2-q5-what-is-step-2-of-the-seven-step-inspection-method,2026-02-14 23:53:25.617005+00
156,2,1,6,What is the maximum allowable play in engine belts during the engine compartment inspection?,1/4 inch,1/2 inch,3/4 inch,1 inch,B,"Belts should have no more than 1/2 inch of play when pressed. Excessive belt play can lead to belt slippage, which may cause overheating, loss of power steering, or alternator failure.",knowledge-test-class-a-2-q6-what-is-the-maximum-allowable-play-in-engine-belts-during-th,2026-02-14 23:53:25.617005+00
157,2,1,7,Which fluids should you check during the engine compartment inspection?,Only engine oil,Only coolant and oil,"Power steering fluid, coolant, and engine oil",Only transmission fluid,C,"During the engine compartment inspection, you should check the power steering fluid, coolant level, and engine oil level. All fluids must be at proper levels to ensure safe vehicle operation.",knowledge-test-class-a-2-q7-which-fluids-should-you-check-during-the-engine-compartment,2026-02-14 23:53:25.617005+00
158,2,1,8,What should you inspect on the battery during the engine compartment check?,Only the battery brand,"Secure mounting, connections, and no corrosion or leaks",Only the voltage reading,Only the manufacture date,B,"During the engine compartment inspection, verify the battery is securely mounted, the connections are tight and free of corrosion, and there are no cracks or leaks in the battery casing.",knowledge-test-class-a-2-q8-what-should-you-inspect-on-the-battery-during-the-engine-com,2026-02-14 23:53:25.617005+00
159,2,1,9,What is Step 3 of the seven-step inspection method?,Walk-around inspection,Engine compartment check,Start engine and in-cab inspection,Check lights,C,"Step 3 involves starting the engine and performing an in-cab inspection. This includes checking gauges, controls, mirrors, the windshield, wipers, and all dashboard warning lights.",knowledge-test-class-a-2-q9-what-is-step-3-of-the-seven-step-inspection-method,2026-02-14 23:53:25.617005+00
160,2,1,10,"After starting the engine, oil pressure should come up to normal within what time frame?",Within seconds,Within 2 minutes,Within 5 minutes,Within 10 minutes,A,"Oil pressure should come up to the normal operating range within seconds of starting the engine. If oil pressure does not register quickly, shut off the engine immediately to prevent serious engine damage.",knowledge-test-class-a-2-q10-after-starting-the-engine-oil-pressure-should-come-up-to-nor,2026-02-14 23:53:25.617005+00
161,2,1,11,"During the in-cab inspection, what should you verify about the mirrors?",They are the correct brand,"They are properly adjusted, clean, and not damaged",They are tinted,They have heating elements,B,"Mirrors must be properly adjusted to minimize blind spots, clean for clear visibility, and free of cracks or damage. Proper mirror adjustment is essential for safe lane changes and maneuvering.",knowledge-test-class-a-2-q11-during-the-in-cab-inspection-what-should-you-verify-about-th,2026-02-14 23:53:25.617005+00
162,2,1,12,What gauges should you check during the in-cab inspection?,Only the speedometer,Only the fuel gauge,"Oil pressure, temperature, ammeter/voltmeter, and air pressure gauges",Only the tachometer,C,"During the in-cab inspection, you must check the oil pressure gauge, temperature gauge, ammeter or voltmeter, and air pressure gauge. All gauges must be in their normal operating ranges.",knowledge-test-class-a-2-q12-what-gauges-should-you-check-during-the-in-cab-inspection,2026-02-14 23:53:25.617005+00
163,2,1,13,What is Step 4 of the seven-step inspection method?,Walk-around inspection,Check signal lights,Turn off engine and check lights,Start the engine,C,"Step 4 is to turn off the engine and check the lights. You should turn on the headlights and four-way flashers, then get out and check that all lights are working properly and are the correct color.",knowledge-test-class-a-2-q13-what-is-step-4-of-the-seven-step-inspection-method,2026-02-14 23:53:25.617005+00
164,2,1,14,What is Step 5 of the seven-step inspection method?,Check signal lights,Walk-around inspection,Brake check,Engine compartment check,B,"Step 5 is the walk-around inspection. This is the most comprehensive step where you inspect tires, wheels, lug nuts, suspension, brakes, axles, frame, exhaust, fuel tank, and coupling devices.",knowledge-test-class-a-2-q14-what-is-step-5-of-the-seven-step-inspection-method,2026-02-14 23:53:25.617005+00
165,2,1,15,What is the minimum tread depth required on steer tires?,2/32 inch,4/32 inch,6/32 inch,8/32 inch,B,"Steer (front) tires must have a minimum tread depth of 4/32 inch. Steer tires have a higher requirement because they are critical for steering control, especially on wet or slippery surfaces.",knowledge-test-class-a-2-q15-what-is-the-minimum-tread-depth-required-on-steer-tires,2026-02-14 23:53:25.617005+00
166,2,1,16,What is the minimum tread depth required on tires other than the steer axle?,1/32 inch,2/32 inch,4/32 inch,6/32 inch,B,All tires other than steer axle tires must have a minimum tread depth of 2/32 inch. Tires below this minimum are unsafe and illegal to operate on public roads.,knowledge-test-class-a-2-q16-what-is-the-minimum-tread-depth-required-on-tires-other-than,2026-02-14 23:53:25.617005+00
167,2,1,17,"During tire inspection, what defects should you look for besides tread depth?",Only tire brand,"Proper inflation, cuts, bulges, and condition of valve stems",Only tire age,Only tire size,B,"When inspecting tires, check for proper inflation, cuts or slashes in the sidewalls, bulges that may indicate internal damage, and the condition of valve stems. All of these can lead to tire failure if not addressed.",knowledge-test-class-a-2-q17-during-tire-inspection-what-defects-should-you-look-for-besi,2026-02-14 23:53:25.617005+00
